Maritime Transport Services Limited|London Thamesport, Grain Road, Isle of Grain, Rochester, Kent. ME3 0EP|GBAULTPTHPLTP|No
MCL Solutions Limited|Kingsferry Wharf, Stather Road, Burton on Stather. DN15 9DJ|GBAUBUSIMMMCL|No
Mibau Stema UK Ltd|Red Lion Wharf, Crete Hall Road, Northfleet, Kent. DA11 2AA|GBAUNFTMEDRLW|No
Milford Haven Port Authority|GBAUPEMCDFMHP|No
Milford Haven Port Authority|GBAUPEMCDFMFP|No
Ministry of Defence - Defence & Storage Distributions Agency|GBAULCGARGLCG|No
Ministry of Defence - Defence Munitions Crombie|D M Crombie New Jetty. KY12 8LA|GBAUGRGGRGDMC|No
Ministry of Defence - HMNB Clyde|Naval Jetties, HM Naval Base Clyde, Helensburgh, Faslane, Argyll & Bute. G84 8HL|GBAUFASGRKFAS|No
Ministry of Defence - RNAD Coulport|RNAD Coulport Jetties. G84 0PD|GBAUCOUGRKCOU|No
Ministry of Defence (MOD)|HM Naval Base Portsmouth, Oil Fuel Jetty & Bedenham Pier/UHAF.|GBAUPMEPTMHMN|No
Montrose Port Authority|Harbour Office, South Quay, Ferryden, Montrose. DD10 9SL|GBAUMONMONMON|No
Moray Council|28B Commercial Road, Buckie, Banffshire. AB56 1UN|GBAUBUCFRBBUC|No
Morris & Co (Handlers) Ltd|Neath Abbey Wharf, Skewen. SA10 6BL|GBAUSKWCWLMCD|No
Morzine (U.K. Branch) Limited|The Manorway, Stanford Le Hope, Essex. SS17 9LL|GBAUSLHLONCRT|No
Mowi Scotland Limited|Kyleakin Feed Mill, Kyleakin, Isle of Skye. IV41 8PQ|GBAUKYNABDKYN|No
National Grid Grain LNG Limited|Isle of Grain - River Medway. ME3 0AB|GBAUIOGMEDLNG|No
Navigator Terminals North Tees Limited|No. 4 Jetty, North Tees Works, Port Clarence, Middlesbrough. TS2 1TT|GBAUPOCMIDNAV|No
Navigator Terminals Seal Sands Limited|1,2,& 3 Jetties, Tees Dock. TS2 1UA|GBAUPOCMIDNTS|No
Navigator Terminals Seal Sands Limited|GBAUXSSMIDNAV|No
Navigator Terminals Thames B.V. Limited|West Thurrock Oil Jetty, Oliver Road, West Thurrock, Grays. RM20 3EY|GBAUGYSLONGOJ|No
Navigator Terminals Windmill Limited|Berths 8 and 9 - Vopak Wharf. CF64 5RZ|GBAUBADCDFVPK|No
New Holland Dock (Wharfingers) Ltd|New Holland Dock - Barrow Haven. DN19 7RT|GBAUNHOIMMNHD|No
Newhaven Port & Properties Ltd|Port Administration Office, East Quay, Newhaven Harbour, Newhaven, East Sussex. BN9 0BN|GBAUNHVNHVNHV|No
Northern Labour Contractors Ltd|King George Dock, Hedon Road, Hull. HU9 5QA|GBAUHULHULHKI|No
Northfleet Terminal Wharf|GBAUNFTLONTER|No
Oikos Storage Ltd|Hole Haven Wharf, Haven Road, Canvey Island, Essex. SS8 0NR|GBAUCANLONHHW|No
Old Ferry Wharf Limited|Old Ferry Wharf - Barrow Haven Port. DN19 7ET|GBAUBRVHULBRV|No
Orkney Islands Council|East Pier & Hatson Ferry Terminal, Kirkwall Orkney. KW15 1RQ|GBAUKWLKWLKWL|No
